time_utc,mmsi,ship_name,latitude,longitude,speed_knots,course,seconds_since_last_update
2026-07-26 11:47:32.610169836 +0000 UTC,244690555,MSTX6,51.903265000000005,4.475821666666667,23.7,236.9,
2026-07-26 11:47:34.007906529 +0000 UTC,244103100,MSTX 31,51.90793166666666,4.482453333333334,5.7,215.1,60.0
2026-07-26 11:47:34.713839324 +0000 UTC,244974362,MSTX 33,51.90257166666667,4.480315,6.3,80.8,249.0
2026-07-26 11:47:35.710276687 +0000 UTC,244065061,MSTX 32,51.91176666666667,4.487128333333334,5.7,306.6,59.0
2026-07-26 11:47:36.080014241 +0000 UTC,244001077,ETERNITY,51.89900166666666,4.48848,0.3,360,60.0
2026-07-26 11:47:48.500260392 +0000 UTC,244650879,ABEL TASMAN,51.90971833333333,4.483276666666667,0.1,360,150.0
2026-07-26 11:47:52.185856904 +0000 UTC,244200332,MSTX 35,51.903621666666666,4.474518333333333,4.7,244.7,60.0
2026-07-26 11:47:53.354392338 +0000 UTC,244129776,MSTX 15,51.910981666666665,4.485555000000001,10.7,80,200.0
2026-07-26 11:47:53.566843448 +0000 UTC,244050309,P99,51.905795,4.4636716666666665,0.1,291,127.0
2026-07-26 11:47:59.386465479 +0000 UTC,244150561,MSTX 13,51.91139833333333,4.48888,17.3,17.9,30.0
2026-07-26 11:48:00.313723589 +0000 UTC,244690555,MSTX6,51.90167666666667,4.471096666666667,26,244.4,28.0
2026-07-26 11:48:19.011662133 +0000 UTC,246536000,P4,51.906214999999996,4.463896666666667,0.1,360,59.0
2026-07-26 11:48:24.106272152 +0000 UTC,244860670,MSTX 9,51.912346666666664,4.483271666666667,4.7,349.9,192.0
2026-07-26 11:48:30.184922332 +0000 UTC,244000711,NAUTICA,51.90149333333333,4.473746666666667,8.7,60,60.0
2026-07-26 11:48:31.128629068 +0000 UTC,244010190,REINOD 1,51.894405,4.476728333333333,0.1,360,
2026-07-26 11:48:34.714368276 +0000 UTC,244974362,MSTX 33,51.90284333333333,4.482971666666667,5.5,84.7,60.0
2026-07-26 11:48:35.644870906 +0000 UTC,244820300,MSTX 7,51.910066666666665,4.487241666666667,11.5,36.3,70.0
2026-07-26 11:48:45.11877006 +0000 UTC,244974362,MSTX 33,51.902860000000004,4.483381666666667,5.5,87.7,11.0
2026-07-26 11:48:45.63093314 +0000 UTC,244065061,MSTX 32,51.911485,4.484826666666667,5,257.6,70.0
2026-07-26 11:48:49.446624423 +0000 UTC,244050396,SCHONEVELD,51.907718333333335,4.478328333333334,0.1,360,183.0
