epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,255.449,1.0273,0.64806,0.97167,0.83981,0.79474,0.83037,0.57851,1.12452,0.68912,1.06303,0.0011882,0.0011882,0.0011882
43,261.301,0.98675,0.61737,0.95442,0.86027,0.77772,0.82993,0.56064,1.22995,0.77999,1.10847,0.0011684,0.0011684,0.0011684
44,267.084,0.9904,0.63174,0.98271,0.85683,0.78947,0.81627,0.53796,1.29178,0.79037,1.1387,0.0011486,0.0011486,0.0011486
45,272.783,1.02949,0.66833,0.95542,0.81581,0.8159,0.85162,0.57514,1.13743,0.69025,1.07896,0.0011288,0.0011288,0.0011288
46,278.47,0.96321,0.65598,0.97674,0.84331,0.83158,0.84958,0.57542,1.16637,0.68326,1.09519,0.001109,0.001109,0.001109
47,284.164,1.02755,0.65827,0.96887,0.84868,0.79701,0.83575,0.57108,1.18125,0.76102,1.09678,0.0010892,0.0010892,0.0010892
48,289.843,1.0176,0.66941,0.96841,0.89339,0.77368,0.84003,0.56252,1.17552,0.73466,1.11296,0.0010694,0.0010694,0.0010694
49,295.545,1.02654,0.63568,0.95085,0.8631,0.81053,0.834,0.56952,1.2167,0.70888,1.12502,0.0010496,0.0010496,0.0010496
50,301.271,1.00292,0.63172,0.96318,0.86192,0.78947,0.83805,0.57191,1.12633,0.6755,1.09533,0.0010298,0.0010298,0.0010298
51,307.16,0.98714,0.62771,0.95782,0.87444,0.85263,0.85916,0.59285,1.13762,0.67708,1.07443,0.00101,0.00101,0.00101
52,313.008,1.00163,0.65572,0.96774,0.87391,0.83897,0.85395,0.57866,1.14987,0.68077,1.08363,0.0009902,0.0009902,0.0009902
53,318.827,0.96174,0.61991,0.94881,0.90639,0.76439,0.8504,0.59301,1.1328,0.69102,1.08942,0.0009704,0.0009704,0.0009704
54,324.687,0.96356,0.60468,0.95365,0.85992,0.82632,0.84961,0.58831,1.19705,0.66812,1.11274,0.0009506,0.0009506,0.0009506
55,330.56,0.97162,0.60069,0.94114,0.87741,0.81053,0.85428,0.60464,1.12112,0.64647,1.09899,0.0009308,0.0009308,0.0009308
56,336.446,0.95667,0.59133,0.94932,0.85618,0.81467,0.8482,0.59806,1.08852,0.6584,1.07312,0.000911,0.000911,0.000911
57,342.268,0.96714,0.62178,0.95756,0.85011,0.80596,0.8379,0.58432,1.16058,0.67887,1.10285,0.0008912,0.0008912,0.0008912
58,348.03,0.9872,0.62297,0.96475,0.91737,0.77368,0.86306,0.60826,1.10001,0.64397,1.0991,0.0008714,0.0008714,0.0008714
59,353.911,0.95169,0.58371,0.94861,0.86374,0.82105,0.84798,0.58668,1.14262,0.66852,1.11414,0.0008516,0.0008516,0.0008516
60,359.717,0.98691,0.61435,0.9569,0.87367,0.82632,0.85916,0.58455,1.1672,0.65335,1.12545,0.0008318,0.0008318,0.0008318
61,365.461,0.95245,0.59149,0.96161,0.8932,0.79232,0.85562,0.59486,1.09538,0.62637,1.08652,0.000812,0.000812,0.000812
62,371.22,0.93582,0.58075,0.94771,0.86004,0.82632,0.8443,0.57299,1.17845,0.67455,1.09138,0.0007922,0.0007922,0.0007922
63,377,0.94417,0.61987,0.95188,0.83154,0.84737,0.84523,0.5924,1.10333,0.65475,1.0614,0.0007724,0.0007724,0.0007724
64,382.835,0.8791,0.56825,0.92135,0.84378,0.85286,0.85242,0.59985,1.12586,0.67563,1.07711,0.0007526,0.0007526,0.0007526
65,388.887,0.90536,0.5582,0.93075,0.86421,0.84211,0.85024,0.58075,1.19585,0.65888,1.11772,0.0007328,0.0007328,0.0007328
